,CODE,DATE_COLLECTE,DATE_HEURE_DEBUT,DATE_HEURE_FIN,MISSION,IMMAT,LIBELLE_CIRCUIT,TEMPS_D_ACTIVITE,TEMPS_D_ARRET,TEMPS_DE_MOTEUR_OFF,TEMPS_DE_PAUSE,TEMPS_DE_MARCHE_ARRIERE,TEMPS_DE_SERVICE,KM_D_ACTIVITE,KM_DE_HLP,KM_DE_MARCHE_ARRIERE,KM_DE_SERVICE,SOURCE,CODE_CIRCUIT,SECTEUR_CIRCUIT,TOURNEE_CIRCUIT,JOURS_CIRCUIT,FLUX_CIRCUIT
9919,AUTO38180,2023-11-29,2023-11-29,2023-11-29,Collecte,vnudajkzk5,NE_T05 ZIZA_SMH_MER_DIB_110030,135.0,1816.0,4035.0,,135.0,15959,0.11,26.68,0.11,26.79,GAM,110030.0,NE,T05 ZIZA,MER,DIB
9920,AUTO38181,2023-11-29,2023-11-29,2023-11-29,Collecte,9zz5ph3zpi,NE_T13_MEYLAN S4 S6_MER_CS_115008,239.0,534.0,60.0,,239.0,6184,0.13,13.03,0.13,13.16,GAM,115008.0,NE,T13,MER,CS
9921,AUTO38182,2023-11-29,2023-11-29,2023-11-29,Collecte,FnZSedjmt4, TEST NE_T08_SMH COLLECTIF_LUN_OMR_101014 estivale,6061.0,443.0,2485.0,,141.0,16888,9.82,36.81,0.1,46.63,GAM,, TEST NE,T08,LUN,OMR
9922,AUTO38183,2023-11-29,2023-11-29,2023-11-29,Collecte,g8k9apcqfs,NE_T14_MEY CHAR S4.S6_MER_OMR_ 110031,0.0,262.0,3703.0,,,13311,0.0,29.31,,29.31,GAM,110031.0,NE,T14,MER,OMR
9923,AUTO38186,2023-11-29,2023-11-29,2023-11-29,Collecte,57igmhyovd,,104.0,2509.0,1861.0,,104.0,14447,0.02,55.46,0.02,55.48,GAM,,,,,
9924,AUTO38187,2023-11-29,2023-11-29,2023-11-29,Collecte,fknz9lrv64,NO_T15_MINI BENNE_MER_CS_134010,0.0,1098.0,2660.0,,,11359,0.0,50.45,,50.45,GAM,134010.0,NO,T15,MER,CS
9925,AUTO38189,2023-11-29,2023-11-29,2023-11-29,Transport,Bj5S5eVr9N,,818.0,5654.0,2153.0,,818.0,19939,0.34,88.27,0.34,88.61,GAM,,,,,
9926,AUTO38188,2023-11-29,2023-11-29,2023-11-29,Autre,pvqkjig664,NE_TSAV_MAINTENANCE,0.0,862.0,4859.0,,,10220,0.0,48.05,,48.05,GAM,,NE,TSAV,,
9927,AUTO38192,2023-11-29,2023-11-29,2023-11-29,Transport,m6n5m046hj,,1501.0,9739.0,3039.0,,1501.0,36420,0.6,151.82,0.6,152.42,GAM,,,,,
9928,AUTO38190,2023-11-29,2023-11-29,2023-11-29,Collecte,1hx5205tl5,NO_T01_FONTAINE_JEU_CS_131001,0.0,3132.0,2570.0,,,12286,0.0,43.55,,43.55,GAM,131001.0,NO,T01,JEU,CS
9929,AUTO38191,2023-11-29,2023-11-29,2023-11-29,Collecte,9zz5ph3zpi,NE_T01_TRONC MEY S2_MER_CS_110003,454.0,1704.0,1759.0,,454.0,14108,0.22,23.64,0.22,23.86,GAM,110003.0,NE,T01,MER,CS
9930,AUTO38193,2023-11-29,2023-11-29,2023-11-29,Collecte,3xwgytolne,NO_ZIZA FIB_VEUREY NOY_MER_FIB_130002,58.0,806.0,,,58.0,8208,0.02,27.63,0.02,27.65,GAM,130002.0,NO,ZIZA FIB,MER,FIB
9931,AUTO38194,2023-11-29,2023-11-29,2023-11-29,Collecte PAV,cewxgzybhe,PAV_1774_JAR CHA BRE_MAR_MULTI_170004,269.0,10186.0,285.0,,269.0,20933,0.14,87.97,0.14,88.11,GAM,170004.0,PAV,1774,MAR,MULTI
9932,AUTO38195,2023-11-29,2023-11-29,2023-11-29,Collecte PAV,8qtjzvpvsd,circuit libre,123.0,6441.0,2337.0,,123.0,15225,0.08,31.12,0.08,31.2,GAM,,circuit libre,,,
9933,AUTO38196,2023-11-29,2023-11-29,2023-11-29,Collecte PAV,37ix70x3dv,,205.0,6188.0,,,205.0,17255,0.14,99.45,0.14,99.59,GAM,,,,,
9934,AUTO38197,2023-11-29,2023-11-29,2023-11-29,Collecte PAV,Mbtg7C288o,,194.0,3939.0,1017.0,,194.0,15042,0.17,95.66,0.17,95.83,GAM,,,,,
9935,AUTO38198,2023-11-29,2023-11-29,2023-11-29,Collecte,tlgnhaw79b,SUD_T03 ZIZA_ECH_MER_FIB_120004,2350.0,880.0,,,253.0,17547,2.79,76.11,0.14,78.9,GAM,120004.0,SUD,T03 ZIZA,MER,FIB
9936,AUTO38199,2023-11-29,2023-11-29,2023-11-29,Collecte,y2qwjva4su,GS_T08_VIZILLE_MER_OMR_160005,8817.0,220.0,1861.0,,145.0,16271,17.01,61.33,0.07,78.34,GAM,160005.0,GS,T08,MER,OMR
9937,AUTO38200,2023-11-29,2023-11-29,2023-11-29,Collecte,qvjjsw3qoz,NE_T11 ZIZA_GIERES_MER_FIB_101026,40.0,60.0,,,40.0,4040,0.04,13.51,0.04,13.55,GAM,101026.0,NE,T11 ZIZA,MER,FIB
